ISO,adm0,cent_lon,cent_lat
AFG,AFGHANISTAN,66.02958642,33.82841536
XAD,AKROTIRI AND DHEKELIA,33.39169248,34.83962441
ALB,ALBANIA,20.06284219,41.14060103
DZA,ALGERIA,2.677146024,28.15837386
ASM,AMERICAN SAMOA,-170.3142264,-14.22299288
AND,ANDORRA,1.575153087,42.54380002
AGO,ANGOLA,17.54929775,-12.29694319
AIA,ANGUILLA,-63.05813322,18.22338226
ATA,ANTARCTICA,19.87252596,-80.50695687
ATG,ANTIGUA AND BARBUDA,-61.7982679,17.27096087
ARG,ARGENTINA,-65.16699768,-35.38996
ARM,ARMENIA,44.9387801,40.2943328
ABW,ARUBA,-69.97027576,12.50931542
AUS,AUSTRALIA,134.4911332,-25.73174284
AUT,AUSTRIA,14.14303885,47.58812486
AZE,AZERBAIJAN,47.5302536,40.28748388
BHS,BAHAMAS,-76.64653235,24.25933675
BHR,BAHRAIN,50.56058361,26.03885468
BGD,BANGLADESH,90.28132379,23.84038957
BRB,BARBADOS,-59.55638952,13.17226208
BLR,BELARUS,28.06049606,53.54617347
BEL,BELGIUM,4.662170791,50.64094345
BLZ,BELIZE,-88.69052036,17.20811296
BEN,BENIN,2.339712982,9.65422325
BMU,BERMUDA,-64.76718511,32.30941324
BTN,BHUTAN,90.4284074,27.39567171
BOL,BOLIVIA,-64.6567571,-16.71333828
BES,"BONAIRE, SAINT EUSTATIUS AND SABA",-67.6682128,12.82315853
BIH,BOSNIA AND HERZEGOVINA,17.78875896,44.17563915
BWA,BOTSWANA,23.81353332,-22.18806067
BVT,BOUVET ISLAND,3.382171105,-54.42832111
BRA,BRAZIL,-53.07658774,-10.74366102
IOT,BRITISH INDIAN OCEAN TERRITORY,72.12070011,-6.682924224
VGB,"VIRGIN ISLANDS, BRITISH ",-64.51844698,18.50284489
BRN,BRUNEI DARUSSALAM,114.7560953,4.528175939
BGR,BULGARIA,25.22465221,42.75592079
BFA,BURKINA FASO,-1.745660194,12.27429073
BDI,BURUNDI,29.88974755,-3.367632
KHM,CAMBODIA,104.9168521,12.70907873
CMR,CAMEROON,12.7415037,5.693973488
CAN,CANADA,-98.26930282,61.36744035
CPV,CAPE VERDE,-23.97819662,15.94737769
CYM,CAYMAN ISLANDS,-80.87358445,19.42543631
CAF,CENTRAL AFRICAN REPUBLIC,20.48563826,6.574318192
TCD,CHAD,18.6666572,15.36477473
CHL,CHILE,-71.39189489,-38.0271429
CHN,CHINA,103.8579147,36.56085955
CXR,CHRISTMAS ISLAND,105.6365531,-10.48534406
CCK,COCOS (KEELING) ISLANDS,96.86642271,-12.11725115
COL,COLOMBIA,-73.08614856,3.903453451
COM,COMOROS,43.68395502,-11.89429235
COK,COOK ISLANDS,-158.9294754,-19.18279522
CRI,COSTA RICA,-84.19557373,9.971239327
CIV,COTE D'IVOIRE,-5.554445778,7.625538273
HRV,CROATIA,16.39062146,45.02691678
CUB,CUBA,-79.02979653,21.62547667
CUW,CURACAO,-68.97154392,12.19337787
CYP,CYPRUS,33.00303699,34.92672171
CZE,CZECH REPUBLIC,15.32867826,49.74017838
COD,"CONGO, THE DEMOCRATIC REPUBLIC OF THE",23.65845641,-2.878812992
DNK,DENMARK,10.05591268,55.9577683
DJI,DJIBOUTI,42.57156202,11.74184156
DMA,DOMINICA,-61.34998778,15.43455148
DOM,DOMINICAN REPUBLIC,-70.49288412,18.89571591
TLS,TIMOR-LESTE,125.8521055,-8.820246763
ECU,ECUADOR,-78.7728401,-1.428431589
EGY,EGYPT,29.78365914,26.56979906
SLV,EL SALVADOR,-88.8671235,13.73022013
GNQ,EQUATORIAL GUINEA,10.33233101,1.701663449
ERI,ERITREA,38.85727124,15.38191527
EST,ESTONIA,25.5497029,58.67063371
ETH,ETHIOPIA,39.62619545,8.629764362
FLK,FALKLAND ISLANDS (MALVINAS),-59.39527004,-51.74123325
FRO,FAROE ISLANDS,-6.890424373,62.06919602
FJI,FIJI,161.8003686,-17.44562621
FIN,FINLAND,26.24620271,64.48574532
FRA,FRANCE,2.553552531,46.55891593
GUF,FRENCH GUIANA,-53.23095125,3.930452074
PYF,FRENCH POLYNESIA,-145.3203142,-15.72127262
ATF,FRENCH SOUTHERN TERRITORIES,68.62745957,-48.97706305
GAB,GABON,11.78498889,-0.623356942
GMB,GAMBIA,-15.37290984,13.45148236
GEO,GEORGIA,43.51927205,42.17697643
DEU,GERMANY,10.39109743,51.10745582
GHA,GHANA,-1.210711246,7.966776748
GIB,GIBRALTAR,-5.349237521,36.13650289
GRC,GREECE,22.98543179,39.04183213
GRL,GREENLAND,-41.48565631,74.67721948
GRD,GRENADA,-61.65864498,12.15336363
GLP,GUADELOUPE,-61.53930515,16.19767939
GUM,GUAM,144.7769508,13.44339326
GTM,GUATEMALA,-90.35465741,15.69756412
GGY,GUERNSEY,-2.514771363,49.48593257
GIN,GUINEA,-10.93695955,10.43625355
GNB,GUINEA-BISSAU,-14.98234586,12.01462385
GUY,GUYANA,-58.97967278,4.793326897
HTI,HAITI,-72.68393908,18.93738747
HMD,HEARD ISLAND AND MCDONALD ISLANDS,73.51061832,-53.09260553
HND,HONDURAS,-86.61620049,14.81824818
HKG,HONG KONG,114.1349649,22.3811208
HUN,HUNGARY,19.41404386,47.16732303
ISL,ICELAND,-18.58134784,64.98316938
IND,INDIA,79.62083351,22.88262855
IDN,INDONESIA,117.284122,-2.233109338
IRN,"IRAN, ISLAMIC REPUBLIC OF",54.30403255,32.55724766
IRQ,IRAQ,43.75480684,32.99986695
IRL,IRELAND,-8.153348663,53.18026614
IMN,ISLE OF MAN,-4.539158757,54.22757984
