ISO,adm0,adm1,cent_lon,cent_lat
AFG,Afghanistan,Badakhshan,71.45897694,37.03289462
AFG,Afghanistan,Badghis,63.75269591,35.13975137
AFG,Afghanistan,Baghlan,68.71387658,35.70536172
AFG,Afghanistan,Balkh,67.13495652,36.64802782
AFG,Afghanistan,Bamyan,67.18130703,34.72141868
AFG,Afghanistan,Daykundi,66.18399262,33.75492245
AFG,Afghanistan,Farah,62.3009202,32.60505251
AFG,Afghanistan,Faryab,64.86355904,36.06923155
AFG,Afghanistan,Ghazni,67.82718148,33.2891806
AFG,Afghanistan,Ghor,64.88652019,34.18288098
AFG,Afghanistan,Hilmand,64.01518229,31.13985554
AFG,Afghanistan,Hirat,62.12151619,34.19074927
AFG,Afghanistan,Jawzjan,65.86623081,36.81843695
AFG,Afghanistan,Kabul,69.31089753,34.55905104
AFG,Afghanistan,Kandahar,65.69915507,30.97302086
AFG,Afghanistan,Kapisa,69.6183677,34.96281853
AFG,Afghanistan,Khost,69.87197553,33.37244091
AFG,Afghanistan,Kunar,71.11573113,34.96438283
AFG,Afghanistan,Kunduz,68.75136154,36.8395556
AFG,Afghanistan,Laghman,70.14318986,34.7561528
AFG,Afghanistan,Logar,69.07781388,33.99334932
AFG,Afghanistan,Nangarhar,70.46825106,34.27492382
AFG,Afghanistan,Nimroz,62.31349222,30.80517465
AFG,Afghanistan,Nuristan,70.7999085,35.41160036
AFG,Afghanistan,Paktika,68.75298463,32.47780474
AFG,Afghanistan,Paktya,69.42430822,33.68051183
AFG,Afghanistan,Panjshir,69.8215763,35.45506816
AFG,Afghanistan,Parwan,68.88771766,34.96869535
AFG,Afghanistan,Samangan,67.74056003,35.94945892
AFG,Afghanistan,Sari Pul,66.16863221,35.7146455
AFG,Afghanistan,Takhar,69.77898625,36.70417614
AFG,Afghanistan,Uruzgan,66.00427116,32.81926501
AFG,Afghanistan,Wardak,68.28417047,34.3171529
AFG,Afghanistan,Zabul,67.10499801,32.23606865
XAD,Akrotiri and Dhekelia,"Akrotiri
",32.9302611,34.63198743
XAD,Akrotiri and Dhekelia,Dhekelia,33.79169288,35.0196184
ALA,Åland,Brändö,21.01931988,60.42384523
ALA,Åland,Eckerö,19.58638336,60.22382433
ALA,Åland,Föglö,20.46716309,60.02071881
ALA,Åland,Finström,19.91002594,60.26550777
