ISO,adm0,adm1,adm2,cent_lon,cent_lat
AFG,Afghanistan,Badakhshan,Baharak,71.10453659,37.02114782
AFG,Afghanistan,Badakhshan,Darwaz,70.93921779,38.21096613
AFG,Afghanistan,Badakhshan,Fayz abad,70.47057987,37.11493958
AFG,Afghanistan,Badakhshan,Ishkashim,71.42759775,36.80779342
AFG,Afghanistan,Badakhshan,Jurm,70.82737518,36.57987072
AFG,Afghanistan,Badakhshan,Khwahan,70.57609371,37.90202924
AFG,Afghanistan,Badakhshan,Kishim,70.307972,36.63503092
AFG,Afghanistan,Badakhshan,Kuran Wa Munjan,70.71520324,35.88022837
AFG,Afghanistan,Badakhshan,Ragh,70.55536656,37.56551984
AFG,Afghanistan,Badakhshan,Shahri Buzurg,70.12938537,37.36909045
AFG,Afghanistan,Badakhshan,Shighnan,71.1759538,37.62895804
AFG,Afghanistan,Badakhshan,Wakhan,73.33862453,37.05301589
AFG,Afghanistan,Badakhshan,Zebak,71.28523376,36.3110983
AFG,Afghanistan,Badghis,Ab Kamari,62.84537136,35.06478733
AFG,Afghanistan,Badghis,Ghormach,63.77637769,35.727521
AFG,Afghanistan,Badghis,Jawand,64.30125437,34.95937566
AFG,Afghanistan,Badghis,Muqur,63.05147394,35.23414202
AFG,Afghanistan,Badghis,Murghab,63.51992579,35.46934417
AFG,Afghanistan,Badghis,Qadis,63.47079485,34.88381603
AFG,Afghanistan,Badghis,Qala-I-Naw,63.04684459,34.84585053
AFG,Afghanistan,Baghlan,Andarab,69.37289429,35.6350424
AFG,Afghanistan,Baghlan,Baghlan City,68.75367015,36.17465904
AFG,Afghanistan,Baghlan,Baghlani Jadid,68.56653044,36.39196683
AFG,Afghanistan,Baghlan,Burka,69.15626623,36.23260466
AFG,Afghanistan,Baghlan,Dahana-I-Ghori,68.4313308,35.81399676
AFG,Afghanistan,Baghlan,Doshi,68.66671921,35.64642803
AFG,Afghanistan,Baghlan,Kahmard,67.69340516,35.21289021
AFG,Afghanistan,Baghlan,Khinjan,68.97048291,35.47637965
AFG,Afghanistan,Baghlan,Khost Wa Firing,69.65130731,35.97824529
AFG,Afghanistan,Baghlan,Nahrin,69.12831374,35.98597369
AFG,Afghanistan,Baghlan,Puli Khumri,68.64372113,35.99878459
